date,bidclose
2019-02-22 10:00:00,110.863
2019-02-22 11:00:00,110.862
2019-02-22 12:00:00,110.854
2019-02-22 13:00:00,110.685
2019-02-22 14:00:00,110.684
2019-02-22 15:00:00,110.75
2019-02-22 16:00:00,110.699
2019-02-22 17:00:00,110.572
2019-02-22 18:00:00,110.65
2019-02-22 19:00:00,110.691
2019-02-22 20:00:00,110.67
2019-02-22 21:00:00,110.636
2019-02-24 21:00:00,110.642
2019-02-24 22:00:00,110.753
2019-02-24 23:00:00,110.769
2019-02-25 00:00:00,110.752
2019-02-25 01:00:00,110.682
2019-02-25 02:00:00,110.604
2019-02-25 03:00:00,110.637
2019-02-25 04:00:00,110.667
2019-02-25 05:00:00,110.624
2019-02-25 06:00:00,110.601
2019-02-25 07:00:00,110.617
2019-02-25 08:00:00,110.677
2019-02-25 09:00:00,110.684
2019-02-25 10:00:00,110.725
2019-02-25 11:00:00,110.725
2019-02-25 12:00:00,110.723
2019-02-25 13:00:00,110.803
2019-02-25 14:00:00,110.821
2019-02-25 15:00:00,110.857
2019-02-25 16:00:00,111.069
2019-02-25 17:00:00,111.184
2019-02-25 18:00:00,111.091
2019-02-25 19:00:00,111.13
2019-02-25 20:00:00,111.027
2019-02-25 21:00:00,111.05
2019-02-25 22:00:00,111.06
2019-02-25 23:00:00,111.035
2019-02-26 00:00:00,111.001
2019-02-26 01:00:00,110.867
2019-02-26 02:00:00,110.78
2019-02-26 03:00:00,110.788
2019-02-26 04:00:00,110.805
2019-02-26 05:00:00,110.781
2019-02-26 06:00:00,110.814
2019-02-26 07:00:00,110.826
2019-02-26 08:00:00,110.832
2019-02-26 09:00:00,110.832
2019-02-26 10:00:00,110.867
2019-02-26 11:00:00,110.872
2019-02-26 12:00:00,110.875
2019-02-26 13:00:00,110.678
2019-02-26 14:00:00,110.74
2019-02-26 15:00:00,110.726
2019-02-26 16:00:00,110.762
2019-02-26 17:00:00,110.714
2019-02-26 18:00:00,110.679
2019-02-26 19:00:00,110.5
2019-02-26 20:00:00,110.559
2019-02-26 21:00:00,110.57
2019-02-26 22:00:00,110.556
2019-02-26 23:00:00,110.547
2019-02-27 00:00:00,110.527
2019-02-27 01:00:00,110.563
2019-02-27 02:00:00,110.573
2019-02-27 03:00:00,110.595
2019-02-27 04:00:00,110.587
2019-02-27 05:00:00,110.564
2019-02-27 06:00:00,110.482
2019-02-27 07:00:00,110.372
2019-02-27 08:00:00,110.386
2019-02-27 09:00:00,110.42
2019-02-27 10:00:00,110.433
2019-02-27 11:00:00,110.47
2019-02-27 12:00:00,110.552
2019-02-27 13:00:00,110.687
2019-02-27 14:00:00,110.815
2019-02-27 15:00:00,110.887
2019-02-27 16:00:00,110.923
2019-02-27 17:00:00,110.939
2019-02-27 18:00:00,110.95
2019-02-27 19:00:00,111.029
2019-02-27 20:00:00,110.985
2019-02-27 21:00:00,110.984
2019-02-27 22:00:00,110.939
2019-02-27 23:00:00,110.857
2019-02-28 00:00:00,110.839
2019-02-28 01:00:00,110.888
2019-02-28 02:00:00,110.865
2019-02-28 03:00:00,110.881
2019-02-28 04:00:00,110.875
2019-02-28 05:00:00,110.801
2019-02-28 06:00:00,110.77
2019-02-28 07:00:00,110.752
2019-02-28 08:00:00,110.796
2019-02-28 09:00:00,110.783
2019-02-28 10:00:00,110.749
2019-02-28 11:00:00,110.786
2019-02-28 12:00:00,110.808
2019-02-28 13:00:00,111.089
2019-02-28 14:00:00,111.252
2019-02-28 15:00:00,111.292
2019-02-28 16:00:00,111.379
2019-02-28 17:00:00,111.321
2019-02-28 18:00:00,111.346
2019-02-28 19:00:00,111.402
2019-02-28 20:00:00,111.458
2019-02-28 21:00:00,111.376
2019-02-28 22:00:00,111.376
2019-02-28 23:00:00,111.355
2019-03-01 00:00:00,111.53
2019-03-01 01:00:00,111.641
2019-03-01 02:00:00,111.75
2019-03-01 03:00:00,111.664
2019-03-01 04:00:00,111.656
2019-03-01 05:00:00,111.707
2019-03-01 06:00:00,111.82
2019-03-01 07:00:00,111.812
2019-03-01 08:00:00,111.899
2019-03-01 09:00:00,111.902
2019-03-01 10:00:00,111.853
2019-03-01 11:00:00,111.814
2019-03-01 12:00:00,111.842
2019-03-01 13:00:00,111.845
2019-03-01 14:00:00,111.867
2019-03-01 15:00:00,111.893
2019-03-01 16:00:00,111.891
2019-03-01 17:00:00,111.963
2019-03-01 18:00:00,111.955
2019-03-01 19:00:00,111.999
2019-03-01 20:00:00,111.971
2019-03-01 21:00:00,111.892
2019-03-03 19:00:00,111.761
