date,bidopen,bidclose,bidhigh,bidlow,tickqty,bid_hl,bid_co
2019-04-09 16:00:00,111.081,111.119,111.123,111.06,4499,0.06300000000000239,0.0379999999999967
2019-04-09 17:00:00,111.119,111.112,111.139,111.097,4019,0.04200000000000159,-0.007000000000005002
2019-04-09 18:00:00,111.112,111.097,111.115,111.088,4654,0.027000000000001023,-0.015000000000000568
2019-04-09 19:00:00,111.097,111.128,111.131,111.095,6451,0.036000000000001364,0.03100000000000591
2019-04-09 20:00:00,111.128,111.117,111.158,111.107,2110,0.05100000000000193,-0.01099999999999568
2019-04-09 21:00:00,111.117,111.125,111.154,111.11,10933,0.04399999999999693,0.007999999999995566
2019-04-09 22:00:00,111.125,111.127,111.148,111.11,2540,0.0379999999999967,0.001999999999995339
2019-04-09 23:00:00,111.127,111.086,111.148,111.054,4817,0.09399999999999409,-0.04099999999999682
2019-04-10 00:00:00,111.086,111.156,111.189,111.076,8950,0.11299999999999955,0.07000000000000739
2019-04-10 01:00:00,111.156,111.095,111.224,111.07,8773,0.15400000000001057,-0.06100000000000705
2019-04-10 02:00:00,111.095,111.167,111.174,111.095,6472,0.07900000000000773,0.07200000000000273
2019-04-10 03:00:00,111.167,111.144,111.191,111.122,5773,0.06900000000000261,-0.022999999999996135
2019-04-10 04:00:00,111.144,111.117,111.149,111.109,4299,0.04000000000000625,-0.027000000000001023
2019-04-10 05:00:00,111.117,111.167,111.168,111.116,5113,0.05200000000000671,0.04999999999999716
2019-04-10 06:00:00,111.167,111.111,111.187,111.11,5277,0.07699999999999818,-0.055999999999997385
2019-04-10 07:00:00,111.111,111.175,111.231,111.111,7824,0.11999999999999034,0.06399999999999295
2019-04-10 08:00:00,111.175,111.137,111.182,111.114,6419,0.06799999999999784,-0.0379999999999967
2019-04-10 09:00:00,111.137,111.118,111.148,111.115,4865,0.03300000000000125,-0.019000000000005457
2019-04-10 10:00:00,111.118,111.216,111.218,111.115,5902,0.10300000000000864,0.09799999999999898
2019-04-10 11:00:00,111.216,111.156,111.235,111.151,7110,0.08400000000000318,-0.05999999999998806
2019-04-10 12:00:00,111.156,111.17,111.275,111.104,21694,0.17100000000000648,0.013999999999995794
2019-04-10 13:00:00,111.17,111.062,111.196,111.037,19796,0.15899999999999181,-0.10800000000000409
2019-04-10 14:00:00,111.062,110.931,111.079,110.916,13248,0.1629999999999967,-0.13100000000000023
2019-04-10 15:00:00,110.931,110.92,110.961,110.883,10323,0.07800000000000296,-0.01099999999999568
2019-04-10 16:00:00,110.92,110.865,110.94,110.86,6048,0.0799999999999983,-0.05500000000000682
2019-04-10 17:00:00,110.865,110.852,110.877,110.837,4601,0.03999999999999204,-0.012999999999991019
2019-04-10 18:00:00,110.852,110.974,110.976,110.841,9637,0.13500000000000512,0.12199999999999989
2019-04-10 19:00:00,110.974,110.957,110.982,110.921,7374,0.06099999999999284,-0.017000000000010118
2019-04-10 20:00:00,110.957,110.992,111.008,110.956,3374,0.0519999999999925,0.0350000000000108
2019-04-10 21:00:00,110.992,110.909,110.993,110.891,18776,0.10199999999998965,-0.08299999999999841
2019-04-10 22:00:00,110.909,110.944,110.963,110.905,4272,0.057999999999992724,0.03499999999999659
2019-04-10 23:00:00,110.944,110.981,111.009,110.913,4578,0.09600000000000364,0.03699999999999193
